iter	AUC	Logloss
0	0.8272022307	0.6824980562
1	0.8295055032	0.6723495729
2	0.8375272453	0.66372743
3	0.8507230878	0.6537533783
4	0.8699994981	0.6442131987
5	0.8685721159	0.6347172001
6	0.8699482083	0.6260498153
7	0.8675816059	0.6172392778
8	0.8712373376	0.607945085
9	0.8704164922	0.5992272806
10	0.8732590675	0.5912077544
11	0.8757102489	0.5824644007
12	0.8751663268	0.5742243097
13	0.8769172728	0.5666653086
14	0.8779094815	0.5588573497
15	0.8789145052	0.5512314194
16	0.8817990124	0.5437189333
17	0.883387506	0.5359951346
18	0.8837066591	0.5291144645
19	0.8891042173	0.5218526337
20	0.8902052641	0.5149129285
21	0.8913354874	0.5081301693
22	0.8909027874	0.5016258217
23	0.8915196955	0.4961667906
24	0.8920845091	0.4903518511
25	0.8914904594	0.4841417879
26	0.8922811151	0.4780235665
27	0.8919898868	0.4724633991
28	0.8925284147	0.4676712401
29	0.892621994	0.4620977887
30	0.893611908	0.4565436902
31	0.8935821056	0.4512681731
32	0.893334657	0.4457871153
33	0.8936400414	0.4407537653
34	0.8933673203	0.4361369293
35	0.8949162662	0.4314357633
36	0.894746393	0.4264920907
37	0.8948900104	0.4218203363
38	0.8951700032	0.4172364342
39	0.8954949081	0.4129328536
40	0.8956275582	0.4083535351
41	0.8960046172	0.4040684587
42	0.8963165879	0.3996907764
43	0.8964338601	0.3955618396
44	0.8973542154	0.3913804884
45	0.899083674	0.3877374138
46	0.8993227184	0.383973595
47	0.9002997875	0.3802522595
48	0.8999019563	0.3768286462
49	0.8998942971	0.3735736076
50	0.8998149037	0.3699820985
51	0.8995089531	0.3666156953
52	0.8998892605	0.3637644808
53	0.9005610943	0.3605357555
54	0.9008965194	0.3571219035
55	0.9006474614	0.353786567
56	0.9007773995	0.3506421503
57	0.9011335075	0.3473669312
58	0.9016013741	0.3442999902
59	0.9019547403	0.3418413317
60	0.9023888409	0.3389086097
61	0.902787298	0.3360396125
62	0.9029606879	0.3330328101
63	0.9030897319	0.3305427031
64	0.9033234417	0.3278454001
65	0.903858304	0.3253668582
66	0.9046971202	0.3228426924
67	0.9055269063	0.3208160599
68	0.905919522	0.3184122987
69	0.9065782726	0.3159885053
70	0.9069646597	0.3141356255
71	0.9073815346	0.3117354717
72	0.9071771502	0.3093870532
73	0.9078378081	0.3068766594
74	0.9082929194	0.3046688261
75	0.9082764387	0.3026983003
76	0.9087694287	0.3004389226
77	0.9086170495	0.2984616064
78	0.9084716141	0.2963979656
79	0.9090164304	0.2944022724
80	0.9093260765	0.2928349342
81	0.9091308415	0.2909854072
82	0.9094291031	0.2889142543
83	0.9096116424	0.287501634
84	0.9097146094	0.2857138583
85	0.9097669721	0.2837745478
86	0.9098305702	0.2821942014
87	0.9097472131	0.2805048034
88	0.909894973	0.2787792247
89	0.9102395773	0.2770906544
90	0.9103212953	0.2754862017
91	0.9105450511	0.2737797425
92	0.9105772376	0.2721741227
93	0.9106276333	0.2708457048
94	0.9108254611	0.2696330018
95	0.9109655619	0.268142545
96	0.910939604	0.2667520363
97	0.9109852016	0.2651852073
98	0.9110661745	0.2637355362
99	0.91134426	0.2624349595
100	0.91127491	0.2608109628
101	0.9112813175	0.2594338017
102	0.9116523564	0.2581395063
103	0.9119898975	0.2571113145
104	0.912003845	0.2558768818
105	0.912235409	0.2546078174
106	0.9123731554	0.253523519
107	0.9127080142	0.2522303058
108	0.9131142497	0.2509158297
109	0.9131711125	0.2496409085
110	0.9131633341	0.2484750813
111	0.9132143557	0.2474470381
112	0.9134665728	0.2462902508
113	0.9135087132	0.245033176
114	0.9139179289	0.2439335564
115	0.9140324295	0.2428522925
116	0.9143369794	0.2416479927
117	0.9144177735	0.2406303051
118	0.9143853188	0.2395096349
119	0.9143714309	0.238514929
120	0.9142121375	0.2375288597
121	0.9143673182	0.2365458462
122	0.9144593775	0.2355912044
123	0.9146486223	0.234731248
124	0.9147611558	0.2339736587
