iter	Passed	Remaining
0	150	2112297
1	256	1792766
2	358	1670837
3	459	1608301
4	563	1578439
5	663	1547319
6	762	1524301
7	864	1511192
8	966	1502319
9	1067	1492857
10	1166	1482855
11	1263	1472588
12	1363	1467092
13	1469	1467861
14	1572	1465666
15	1676	1465541
16	1779	1463383
17	1884	1464046
18	1988	1463243
19	2088	1460163
20	2192	1459144
21	2307	1466174
22	2408	1463620
23	2509	1461348
24	2612	1460236
25	2717	1460337
26	2820	1459625
27	2922	1458409
28	3022	1456267
29	3125	1455373
30	3233	1456913
31	3334	1455635
32	3436	1454652
33	3540	1454131
34	3641	1452901
35	3744	1452412
36	3850	1453169
37	3955	1453211
38	4057	1452550
39	4161	1452196
40	4265	1452251
41	4368	1451750
42	4469	1450819
43	4572	1450234
44	4674	1449627
45	4774	1448260
46	4873	1446708
47	4973	1445646
48	5070	1443558
49	5173	1443309
50	5275	1442929
51	5379	1442913
52	5481	1442494
53	5581	1441484
54	5678	1439806
55	5777	1438635
56	5878	1437943
57	5979	1437298
58	6087	1438409
59	6193	1438857
60	6299	1439498
61	6405	1439891
62	6508	1439842
63	6611	1439712
64	6717	1440118
65	6818	1439633
66	6924	1439910
67	7027	1439818
68	7127	1439077
69	7230	1438793
70	7330	1438179
71	7433	1438009
72	7532	1437052
73	7634	1436641
74	7734	1436066
75	7834	1435301
76	7932	1434355
77	8032	1433673
78	8130	1432728
79	8228	1431723
80	8330	1431479
81	8431	1431035
82	8530	1430366
83	8630	1429864
84	8733	1429774
85	8834	1429386
86	8936	1429063
87	9035	1428373
88	9135	1427886
89	9240	1428108
90	9338	1427371
91	9439	1426944
92	9538	1426345
93	9636	1425617
94	9736	1425066
95	9837	1424748
96	9937	1424286
97	10038	1424027
98	10139	1423742
99	10239	1423237
100	10339	1422817
101	10439	1422408
102	10542	1422418
103	10642	1422064
104	10743	1421729
105	10847	1421903
106	10954	1422336
107	11062	1422927
108	11168	1423345
109	11273	1423596
110	11382	1424310
111	11484	1424103
112	11590	1424395
113	11693	1424376
114	11800	1424806
115	11906	1425094
116	12008	1424895
117	12109	1424623
118	12211	1424431
119	12308	1423740
120	12410	1423471
121	12501	1422137
122	12604	1422106
123	12703	1421525
124	12803	1421192
125	12903	1420777
126	13006	1420776
127	13103	1420135
128	13203	1419733
129	13306	1419667
130	13406	1419397
131	13507	1419146
132	13609	1418978
133	13712	1418902
134	13810	1418396
135	13908	1417837
136	14009	1417635
137	14111	1417464
138	14212	1417287
139	14314	1417112
140	14419	1417312
141	14522	1417260
142	14625	1417276
143	14733	1417663
144	14836	1417651
145	14940	1417713
146	15043	1417630
147	15146	1417597
148	15249	1417545
149	15351	1417498
150	15454	1417456
151	15557	1417357
152	15664	1417682
153	15770	1417929
154	15872	1417780
155	15974	1417616
156	16074	1417296
157	16173	1416888
158	16283	1417526
159	16387	1417530
160	16492	1417677
161	16601	1418081
162	16704	1417998
163	16806	1417882
164	16909	1417798
165	17012	1417792
166	17115	1417694
167	17223	1418101
168	17329	1418249
169	17434	1418331
170	17540	1418542
171	17642	1418337
172	17749	1418664
173	17855	1418771
174	17958	1418704
175	18060	1418570
176	18166	1418706
177	18272	1418921
178	18378	1419051
179	18487	1419400
180	18595	1419708
181	18702	1419924
182	18807	1420014
183	18908	1419781
184	19010	1419650
185	19118	1419875
186	19223	1419977
187	19329	1420071
188	19438	1420437
189	19546	1420721
190	19653	1420941
191	19759	1421051
192	19864	1421090
193	19970	1421184
194	20077	1421363
195	20186	1421738
196	20289	1421584
197	20393	1421554
198	20501	1421834
199	20603	1421622
200	20704	1421420
201	20810	1421504
202	20918	1421763
203	21023	1421784
204	21126	1421630
205	21230	1421604
206	21333	1421519
207	21439	1421592
208	21541	1421416
209	21642	1421193
210	21749	1421343
211	21856	1421485
212	21962	1421584
213	22065	1421496
214	22167	1421272
215	22269	1421100
216	22371	1420973
217	22472	1420718
218	22581	1420980
219	22685	1420957
220	22789	1420904
221	22892	1420801
222	22998	1420841
223	23103	1420871
224	23208	1420880
225	23314	1420960
226	23423	1421221
