tripid,label
189123628,correct
189125358,correct
189125719,correct
189127273,correct
189128020,correct
189129552,correct
189132829,correct
189135103,correct
189139296,correct
189138671,correct
189135814,incorrect
189140969,incorrect
189144528,correct
189147041,incorrect
189145904,correct
189146174,correct
189150541,correct
189153229,correct
189151585,correct
189157464,correct
189157607,incorrect
189157476,correct
189157559,correct
189159951,correct
189158726,correct
189160756,incorrect
189161377,incorrect
189163162,correct
189164454,correct
189164880,correct
189164806,incorrect
189164831,incorrect
189165701,correct
189165828,correct
189164791,incorrect
189165178,correct
189165865,correct
189166546,correct
189168392,correct
189168508,correct
189170751,correct
189170729,correct
189172042,correct
189172150,correct
189174640,incorrect
189176766,correct
189177024,correct
189177562,incorrect
189178968,correct
189178922,correct
189179135,correct
189182800,correct
189183026,correct
189182263,correct
189183791,correct
189184874,correct
189185482,correct
189187733,correct
189189239,correct
189188700,correct
189190774,correct
189191170,correct
189191865,incorrect
189192436,correct
189195252,correct
189195319,correct
189197174,correct
189197440,incorrect
189199402,correct
189198124,correct
189200722,correct
189197761,correct
189207229,correct
189211199,correct
189213407,correct
189214033,correct
189213695,correct
189213072,correct
189216823,correct
189216722,correct
189218858,correct
189225684,correct
189228044,correct
189228711,correct
189227008,correct
189228018,correct
189228747,incorrect
189230734,correct
189228642,correct
189230575,correct
189231083,correct
189231599,incorrect
189230749,incorrect
189232663,correct
189235224,correct
189235149,correct
189236485,correct
189236807,correct
189238502,correct
189238918,correct
189238432,correct
189242677,correct
189245392,correct
189245966,correct
189246252,incorrect
189246489,correct
189246667,correct
189246189,incorrect
189248046,correct
189247969,correct
189247963,correct
189248668,correct
189251620,correct
189251999,correct
189252401,incorrect
189250944,correct
189253801,correct
189254214,correct
189254149,correct
189256971,correct
189258573,correct
189259043,correct
189260564,incorrect
189259241,correct
189258007,correct
189263192,correct
189265331,correct
189263421,correct
189269731,correct
189271370,correct
189272789,correct
189255640,incorrect
189277507,correct
189277797,correct
189278717,correct
189284005,correct
189289592,correct
189291061,correct
189291251,correct
189296237,correct
189295171,correct
189297651,correct
189299614,correct
189297791,correct
189299712,correct
189299634,correct
189301104,incorrect
189302363,correct
189299351,correct
189307116,correct
189307311,correct
189308768,correct
189310309,correct
189310810,correct
189311290,correct
189312263,incorrect
189311116,correct
189316198,correct
189316986,correct
189318308,correct
189319887,correct
189320689,correct
189320879,correct
189321060,correct
189321441,correct
189322307,correct
189322508,correct
189322219,correct
189323004,correct
189324348,correct
189324956,correct
189326405,correct
189326946,correct
189328885,incorrect
189328759,correct
189326852,correct
189330412,correct
189331202,incorrect
189331841,correct
189332849,correct
189334101,correct
189334659,correct
189335987,correct
189337200,correct
189337295,correct
189338186,correct
189340972,correct
189341635,correct
189341749,correct
189343203,correct
189343250,correct
189343711,correct
189344234,correct
189344340,correct
189344806,correct
189344916,correct
189345133,correct
189345964,correct
189349154,correct
189349843,correct
189352404,correct
189352198,correct
189353033,correct
189355805,correct
189357031,correct
189356722,correct
189357271,correct
189358090,correct
189358931,correct
189362798,correct
189362908,correct
189364521,correct
189364729,correct
189363308,correct
189364148,correct
189364832,correct
189366382,correct
189366928,correct
189366561,correct
189368969,correct
189368662,correct
189369537,correct
189369862,correct
189370252,correct
189373421,correct
189372631,correct
189372731,correct
189373423,correct
189374717,correct
189376119,correct
189377270,correct
189378522,correct
189378013,correct
189378960,correct
189378598,correct
189380294,correct
189381337,correct
189383726,correct
189382754,correct
189384735,correct
189385422,correct
189389198,correct
189388404,correct
189390463,correct
189389678,correct
189389144,correct
189387360,incorrect
189391540,correct
189388837,incorrect
189391652,correct
189391717,correct
189393914,correct
189392305,correct
189393356,incorrect
189396958,correct
189394373,correct
189397331,correct
189402781,correct
189397242,incorrect
189406485,correct
189405860,correct
189407804,correct
189407967,correct
189407984,correct
189408432,correct
189408625,correct
189409955,correct
189409228,correct
189408323,correct
189410996,correct
189410226,correct
189410770,correct
189411072,incorrect
189411571,correct
189411654,correct
189411686,correct
189412203,correct
189415426,correct
189415138,incorrect
189415734,incorrect
189418240,incorrect
189418099,correct
189418670,correct
189419091,correct
189419638,correct
189421009,correct
189420181,correct
189416745,correct
189426809,correct
189425347,correct
189426156,correct
189426866,correct
189428397,correct
189431382,correct
189431702,correct
189433268,correct
189433194,correct
189436014,correct
189438313,correct
189433901,incorrect
189433041,incorrect
189447323,correct
189445521,correct
189449518,incorrect
189457127,correct
189465650,correct
189466384,correct
189464341,correct
189475280,correct
189482279,correct
189482129,incorrect
189485284,correct
189495069,correct
189495998,correct
189497967,correct
189503517,correct
189511200,correct
189522886,correct
189532670,correct
189532685,correct
189539207,incorrect
189551186,correct
189549694,correct
189559733,correct
189561658,correct
189561484,correct
189563387,correct
189563838,correct
189567943,correct
189571585,correct
189572039,correct
189576153,correct
189577248,correct
189582363,correct
189582091,correct
189582749,correct
189585226,correct
189588044,correct
189592281,correct
189592642,correct
189594196,correct
189598408,correct
189598925,correct
189612168,correct
189612913,correct
189614222,correct
189615129,correct
189616722,incorrect
189618936,correct
189619155,correct
189620261,correct
189619341,incorrect
189621653,correct
189619335,correct
189621993,correct
189621459,incorrect
189622512,correct
189622614,correct
189623692,correct
189622393,correct
189625444,incorrect
189625719,correct
189626199,incorrect
189626331,correct
189627336,correct
189627696,correct
189628360,correct
189629516,correct
189630073,correct
189630015,incorrect
189629971,correct
189631195,correct
189631923,correct
189630850,correct
189632332,correct
189632294,correct
189635649,correct
189635538,incorrect
189634992,correct
189637322,correct
189637900,correct
189639329,correct
189638485,correct
189639583,incorrect
189640743,correct
189640410,correct
189642007,correct
189643873,correct
189645829,correct
189646332,correct
189646971,correct
189647585,correct
189648876,correct
189648698,incorrect
189649047,correct
189649474,correct
189651927,correct
189651694,correct
189652752,correct
189653789,correct
189653619,correct
189655834,correct
189655810,correct
189655742,correct
189657443,correct
189657220,correct
189658667,correct
189659240,correct
189660634,correct
189661529,correct
189663502,incorrect
189667686,correct
189670152,incorrect
189671196,correct
189673793,correct
189673367,correct
189675362,correct
189679466,correct
189685055,correct
189690276,correct
189692209,correct
189694470,correct
189697122,correct
189698072,correct
189703182,correct
189704023,correct
189706084,correct
189708921,correct
189710931,correct
189711504,correct
189713811,correct
189716347,correct
189717823,correct
189716961,correct
189717466,correct
189711142,correct
189720509,correct
189719508,correct
189727289,correct
189725821,correct
189727895,correct
189730051,correct
189730532,correct
189733204,correct
189733881,correct
189735170,correct
189738377,correct
189738783,correct
189737409,correct
189737915,correct
189740451,incorrect
189734544,incorrect
189741904,correct
189742726,incorrect
189742320,correct
189743325,correct
189746242,correct
189748039,correct
189747601,correct
189752853,correct
189752791,correct
189753694,correct
189749297,incorrect
189754274,correct
189757049,correct
189757467,correct
189758369,correct
189765236,incorrect
189765491,correct
189766627,correct
189766722,correct
189734074,incorrect
189767527,correct
189767896,correct
189768593,correct
189768735,correct
189778822,correct
189783800,incorrect
189783482,correct
189783701,correct
189786021,correct
189790857,correct
189793481,correct
189792194,correct
189795290,correct
189789182,incorrect
189800308,correct
189800624,correct
189800936,correct
189801272,correct
189802526,correct
189805152,correct
189807931,correct
189806574,incorrect
189808168,correct
189809114,correct
189809036,correct
